2024-09-23 08:13:16,228 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.89s, Data Size: 114069 bytes
2024-09-23 08:13:16,245 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.85s, Data Size: 114069 bytes
2024-09-23 08:13:16,294 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.24s, Data Size: 114069 bytes
2024-09-23 08:13:16,482 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.35s, Data Size: 114069 bytes
2024-09-23 08:13:16,639 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.55s, Data Size: 114069 bytes
2024-09-23 08:13:16,672 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.50s, Data Size: 114069 bytes
2024-09-23 08:13:16,754 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.94s, Data Size: 114069 bytes
2024-09-23 08:13:16,770 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.20s, Data Size: 114069 bytes
2024-09-23 08:13:16,802 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.02s, Data Size: 114069 bytes
2024-09-23 08:13:16,942 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.85s, Data Size: 114069 bytes
2024-09-23 08:13:16,942 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.98s, Data Size: 114069 bytes
2024-09-23 08:13:17,131 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.11s, Data Size: 114069 bytes
2024-09-23 08:13:17,148 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.26s, Data Size: 114069 bytes
2024-09-23 08:13:17,159 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.02s, Data Size: 114069 bytes
2024-09-23 08:13:17,262 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.62s, Data Size: 114069 bytes
2024-09-23 08:13:17,311 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.04s, Data Size: 114069 bytes
2024-09-23 08:13:17,400 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.71s, Data Size: 114069 bytes
2024-09-23 08:13:17,425 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.57s, Data Size: 114069 bytes
2024-09-23 08:13:17,456 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.37s, Data Size: 114069 bytes
2024-09-23 08:13:17,584 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.49s, Data Size: 114069 bytes
2024-09-23 08:13:17,920 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.23s, Data Size: 114069 bytes
2024-09-23 08:13:17,953 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.50s, Data Size: 114069 bytes
2024-09-23 08:13:17,993 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.37s, Data Size: 114069 bytes
2024-09-23 08:13:18,067 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.27s, Data Size: 114069 bytes
2024-09-23 08:13:18,244 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.46s, Data Size: 114069 bytes
2024-09-23 08:13:18,304 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.63s, Data Size: 114069 bytes
2024-09-23 08:13:18,312 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.88s, Data Size: 114069 bytes
2024-09-23 08:13:18,312 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.30s, Data Size: 114069 bytes
2024-09-23 08:13:18,312 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.51s, Data Size: 114069 bytes
2024-09-23 08:13:18,344 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.46s, Data Size: 114069 bytes
2024-09-23 08:13:18,393 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.32s, Data Size: 114069 bytes
2024-09-23 08:13:18,685 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 3.08s, Data Size: 114069 bytes
2024-09-23 08:13:18,694 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.45s, Data Size: 114069 bytes
2024-09-23 08:13:18,735 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.61s, Data Size: 114069 bytes
